Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.177-64.233.162.198-46333-443-17,192.168.1.177,46333,64.233.162.198,443,17,08/05/2019 04:32:20,44013856,9,9,2067.0,360.0,483.0,23.0,229.66666666666666,240.33830323109132,70.0,16.0,40.0,27.54995462791182,55.14172627819749,0.4089621232004758,2589050.352941176,6030653.311101303,2.0964965E7,30.0,4.4013856E7,5501732.0,8063208.669011452,2.0998472E7,13301.0,4.3999915E7,5499989.375,8068377.25857302,2.0979298E7,30.0,0,0,0,0,72,72,0.2044810616002379,0.2044810616002379,16.0,483.0,153.1578947368421,203.42791875417439,41382.91812865497,0,0,0,0,0,0,0,0,1.0,161.66666666666666,229.66666666666666,40.0,0,0,0,0,0,0,9,2067,9,360,-1,-1,8,8,2023108.5,2813721.4250178533,4012710.0,33507.0,1.79760365E7,4226983.221663471,2.0964965E7,1.4987108E7,No Label
192.168.1.177-192.168.1.1-42895-53-17,192.168.1.177,42895,192.168.1.1,53,17,08/05/2019 04:32:17,2456,1,1,56.0,122.0,56.0,56.0,56.0,0.0,122.0,122.0,122.0,0.0,72475.57003257329,814.3322475570033,2456.0,0.0,2456.0,2456.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,407.1661237785016,407.1661237785016,56.0,122.0,78.0,38.1051177665153,1452.0,0,0,0,0,0,0,0,0,1.0,117.0,56.0,122.0,0,0,0,0,0,0,1,56,1,122,-1,-1,0,8,0,0,0,0,0,0,0,0,No Label
173.194.222.189-192.168.1.177-443-53345-17,173.194.222.189,443,192.168.1.177,53345,17,08/05/2019 04:32:16,55108353,5,5,162.0,133.0,40.0,21.0,32.4,10.406728592598155,29.0,23.0,26.6,3.286335345030997,5.353090483397317,0.18146069435245143,6123150.333333333,7334883.272659337,1.4974775E7,9790.0,5.5082683E7,1.377067075E7,1957178.7329247468,1.5011188E7,1.089663E7,5.5082057E7,1.377051425E7,1927139.404986291,1.4974775E7,1.093209E7,0,0,0,0,40,40,0.09073034717622572,0.09073034717622572,21.0,40.0,30.454545454545457,8.128513226459516,66.07272727272729,0,0,0,0,0,0,0,0,1.0,33.5,32.4,26.6,0,0,0,0,0,0,5,162,5,133,-1,-1,4,8,18163.25,9349.263406814463,26296.0,9790.0,1.37525075E7,1941883.9726579098,1.4974775E7,1.089663E7,No Label
192.168.1.177-82.202.236.43-59104-22-6,192.168.1.177,59104,82.202.236.43,22,6,08/05/2019 04:32:28,42352368,82,58,1372.0,5804.0,68.0,0.0,16.73170731707317,22.009004207025903,1052.0,0.0,100.06896551724141,155.35628119803525,169.43562636214344,3.305600291346165,304693.2949640287,2105779.805101954,2.399774E7,3.0,4.23058E7,522293.827160494,2745592.2070034626,2.4002902E7,10.0,4.2347206E7,742933.4385964914,3257713.0844475795,2.4003251E7,9.0,1,0,0,0,2648,1856,1.936137313502754,1.3694629778434113,0.0,1052.0,51.37588652482267,108.6007457884871,11794.1219858156,0,1,0,0,1,0,0,0,0.0,51.74285714285714,16.73170731707317,100.06896551724138,0,0,0,0,0,0,82,1372,58,5804,1437,316,30,32,4340044.5,6130449.622793788,8674927.0,5162.0,1.4612682E7,1.3272476307258114E7,2.399774E7,5227624.0,No Label
192.168.1.177-192.30.253.125-54518-443-6,192.168.1.177,54518,192.30.253.125,443,6,08/05/2019 04:32:28,8836497,2,3,28.0,24.0,28.0,0.0,14.0,19.79898987322333,24.0,0.0,8.0,13.856406460551018,5.884684847400503,0.5658350814808176,2209124.25,4086967.292407201,8336969.0,260.0,8610720.0,8610720.0,0.0,8610720.0,8610720.0,8563006.0,4281503.0,5735295.018942966,8336969.0,226037.0,0,0,0,0,64,96,0.22633403259232704,0.33950104888849053,0.0,28.0,8.666666666666668,13.48579499572297,181.86666666666667,0,0,0,0,1,0,0,0,1.0,10.4,14.0,8.0,0,0,0,0,0,0,2,28,3,24,304,31,1,32,273491.0,0.0,273491.0,273491.0,8336969.0,0.0,8336969.0,8336969.0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,08/05/2019 04:32:22,25250366,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.079206772685988,2.5250366E7,0.0,2.5250366E7,2.5250366E7,2.5250366E7,2.5250366E7,0.0,2.5250366E7,2.5250366E7,0,0,0,0,0,0,0,0,0,0,0,0.079206772685988,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,2.5250366E7,0.0,2.5250366E7,2.5250366E7,No Label
192.168.1.177-64.233.163.188-46472-5228-6,192.168.1.177,46472,64.233.163.188,5228,6,08/05/2019 04:32:50,10757,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.9254438969973,10757.0,0.0,10757.0,10757.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,92.96272194849865,92.96272194849865,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,309,244,0,32,0,0,0,0,0,0,0,0,No Label
188.234.130.207-192.168.1.177-443-34542-17,192.168.1.177,34542,188.234.130.207,443,17,08/05/2019 04:32:17,3878437,476,947,19292.0,1265702.0,1350.0,28.0,40.52941176470586,105.80415461184374,1350.0,20.0,1336.538542766632,131.43722262640503,331317.4869154765,366.9003776521315,2727.452180028122,93289.72338177235,3517552.0,0.0,3840745.0,8085.778947368419,161387.53689492936,3517552.0,11.0,3856584.0,4076.727272727274,115252.04840669094,3544664.0,2.0,0,0,0,0,3808,7576,122.72985225749446,244.17052539463708,20.0,1350.0,903.3314606741574,623.9138956838359,389268.5492273804,0,0,0,0,0,0,0,0,1.0,903.9662684469431,40.529411764705884,1336.5385427666315,0,0,0,0,0,0,476,19292,947,1265702,-1,-1,475,8,0,0,0,0,0,0,0,0,No Label
192.168.1.177-95.213.255.17-34106-443-6,95.213.255.17,443,192.168.1.177,34106,6,08/05/2019 04:32:24,29973661,4,2,62.0,70.0,31.0,0.0,15.5,17.8978583448784,35.0,35.0,35.0,0.0,4.403866447945748,0.20017574763389764,5994732.2,1.3391960236122014E7,2.9950997E7,245.0,2.9973661E7,9991220.333333332,1.728567364730135E7,2.9950997E7,11272.0,2.9962359E7,2.9962359E7,0.0,2.9962359E7,2.9962359E7,1,0,0,0,128,64,0.13345049842259843,0.06672524921129921,0.0,35.0,23.28571428571429,16.007438746973083,256.23809523809524,0,1,0,0,1,0,0,0,0.0,27.166666666666668,15.5,35.0,0,0,0,0,0,0,4,62,2,70,249,386,1,32,11392.0,0.0,11392.0,11392.0,2.9950997E7,0.0,2.9950997E7,2.9950997E7,No Label
151.101.84.133-192.168.1.177-443-58594-6,192.168.1.177,58594,151.101.84.133,443,6,08/05/2019 04:32:37,18851,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.09516736512651,18851.0,0.0,18851.0,18851.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,53.04758368256326,53.04758368256326,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,276,0,0,32,0,0,0,0,0,0,0,0,No Label
