Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.100.5-31.13.72.12-34844-443-6,31.13.72.12,443,192.168.100.5,34844,6,11/05/2019 02:38:05,81,2,0,39.0,0.0,39.0,0.0,19.5,27.577164466275352,0,0,0,0,481481.48148148146,24691.358024691355,81.0,0.0,81.0,81.0,81.0,81.0,0.0,81.0,81.0,0,0,0,0,0,1,0,0,0,64,0,24691.358024691355,0.0,0.0,39.0,26.0,22.516660498395403,507.0,0,1,0,0,1,0,0,0,0.0,39.0,19.5,0.0,0,0,0,0,0,0,2,39,0,0,118,-1,0,32,0,0,0,0,0,0,0,0,No Label
185.33.223.204-192.168.100.5-443-34120-6,185.33.223.204,443,192.168.100.5,34120,6,11/05/2019 02:38:28,13164173,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,2.354876375447208,0.2278912621400524,6582086.5,9308371.34520924,1.3164099E7,74.0,1.3164173E7,6582086.5,9308371.34520924,1.3164099E7,74.0,0,0,0,0,0,0,0,0,0,96,0,0.2278912621400524,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,0,0,0,0,0,0,3,31,0,0,53,-1,1,32,0,0,0,0,1.3164099E7,0.0,1.3164099E7,1.3164099E7,No Label
192.168.100.5-3.214.163.243-40570-443-6,3.214.163.243,443,192.168.100.5,40570,6,11/05/2019 02:38:28,13925299,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.14362348700735258,1.3925299E7,0.0,1.3925299E7,1.3925299E7,1.3925299E7,1.3925299E7,0.0,1.3925299E7,1.3925299E7,0,0,0,0,0,0,0,0,0,64,0,0.14362348700735258,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,123,-1,0,32,0,0,0,0,0,0,0,0,No Label
185.26.182.111-192.168.100.5-443-43860-6,185.26.182.111,443,192.168.100.5,43860,6,11/05/2019 02:38:28,15128997,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,2.04904528700746,0.1982947051942703,7564498.5,1.069561444073432E7,1.512744E7,1557.0,1.5128997E7,7564498.5,1.069561444073432E7,1.512744E7,1557.0,0,0,0,0,0,0,0,0,0,96,0,0.1982947051942703,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,0,0,0,0,0,0,3,31,0,0,62,-1,1,32,0,0,0,0,1.512744E7,0.0,1.512744E7,1.512744E7,No Label
192.168.100.5-31.13.72.36-40202-443-6,31.13.72.36,443,192.168.100.5,40202,6,11/05/2019 02:38:27,19061149,3,0,39.0,0.0,39.0,0.0,13.0,22.516660498395403,0,0,0,0,2.0460466470305647,0.15738820361773573,9530574.5,1.3462688738504076E7,1.9050133E7,11016.0,1.9061149E7,9530574.5,1.3462688738504076E7,1.9050133E7,11016.0,0,0,0,0,0,0,0,0,0,96,0,0.15738820361773573,0.0,0.0,39.0,9.75,19.5,380.25,0,0,0,0,1,0,0,0,0.0,13.0,13.0,0.0,0,0,0,0,0,0,3,39,0,0,126,-1,1,32,0,0,0,0,1.9050133E7,0.0,1.9050133E7,1.9050133E7,No Label
192.168.100.5-18.203.165.119-44794-443-6,18.203.165.119,443,192.168.100.5,44794,6,11/05/2019 02:38:28,19513056,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,1.5886799074424838,0.1537432168492726,9756528.0,6702346.98081575,1.4495803E7,5017253.0,1.9513056E7,9756528.0,6702346.98081575,1.4495803E7,5017253.0,0,0,0,0,0,0,0,0,0,96,0,0.1537432168492726,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,0,0,0,0,0,0,3,31,0,0,130,-1,1,32,0,0,0,0,1.4495803E7,0.0,1.4495803E7,1.4495803E7,No Label
192.168.100.5-35.175.26.81-48048-443-6,35.175.26.81,443,192.168.100.5,48048,6,11/05/2019 02:38:28,19569076,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,1.5841320254466793,0.15330309923677543,9784538.0,6869348.631969264,1.4641901E7,4927175.0,1.9569076E7,9784538.0,6869348.631969264,1.4641901E7,4927175.0,0,0,0,0,0,0,0,0,0,96,0,0.15330309923677543,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,0,0,0,0,0,0,3,31,0,0,122,-1,1,32,0,0,0,0,1.4641901E7,0.0,1.4641901E7,1.4641901E7,No Label
192.168.100.5-3.214.163.243-40568-443-6,3.214.163.243,443,192.168.100.5,40568,6,11/05/2019 02:37:50,59903762,5,0,753.0,0.0,666.0,0.0,150.6,289.0152245124814,0,0,0,0,12.57016212103674,0.08346721195907529,1.49759405E7,2.1336664176516667E7,4.525977E7,95.0,5.9903762E7,1.49759405E7,2.1336664176516667E7,4.525977E7,95.0,0,0,0,0,0,1,0,0,0,160,0,0.08346721195907529,0.0,0.0,666.0,236.5,333.3117159657008,111096.7,0,1,0,0,1,0,0,0,0.0,283.8,150.6,0.0,0,0,0,0,0,0,5,753,0,0,213,-1,2,32,628.0,0.0,628.0,628.0,4.525977E7,0.0,4.525977E7,4.525977E7,No Label
192.168.100.5-74.125.131.198-56469-443-17,74.125.131.198,443,192.168.100.5,56469,17,11/05/2019 02:37:50,45013484,11,0,399.0,0.0,110.0,17.0,36.27272727272727,30.17976444272191,0,0,0,0,8.864010615130347,0.24437121996599953,4501348.399999999,7028048.920898067,1.500785E7,27.0,4.5013484E7,4501348.399999999,7028048.920898067,1.500785E7,27.0,0,0,0,0,0,0,0,0,0,88,0,0.24437121996599953,0.0,17.0,110.0,35.083333333333336,29.068753400213502,844.992424242424,0,0,0,0,0,0,0,0,0.0,38.27272727272727,36.27272727272727,0.0,0,0,0,0,0,0,11,399,0,0,-1,-1,10,8,504072.5,711566.503655491,1007226.0,919.0,1.4668446333333334E7,578877.6406222073,1.500785E7,1.4000043E7,No Label
172.217.130.152-192.168.100.5-443-44884-17,172.217.130.152,443,192.168.100.5,44884,17,11/05/2019 02:37:51,55732560,3845,0,5171400.0,0.0,1350.0,20.0,1344.9674902470724,79.20659989732363,0,0,0,0,92789.56502267257,68.9901917299331,14498.584807492165,512816.17320110556,2.0052398E7,1.0,5.573256E7,14498.584807492165,512816.17320110556,2.0052398E7,1.0,0,0,0,0,0,0,0,0,0,30760,0,68.9901917299331,0.0,20.0,1350.0,1344.9687987519483,79.19634085387055,6272.060404642445,0,0,0,0,0,0,0,0,0.0,1345.3185955786737,1344.967490247074,0.0,0,0,0,0,0,0,3845,5171400,0,0,-1,-1,3844,8,237895.66666666666,204296.67998362903,473674.0,113406.0,1.8262063E7,2337046.128365677,2.0052398E7,1.5618236E7,No Label
