Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
188.43.72.112-192.168.100.5-80-60738-6,188.43.72.112,80,192.168.100.5,60738,6,07/07/2019 04:14:58,23912053,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.16727965599607864,7970684.333333334,3934488.127743472,1.0245152E7,3427530.0,2.3912053E7,7970684.333333334,3934488.127743472,1.0245152E7,3427530.0,0,0,0,0,0,0,0,0,0,128,0,0.16727965599607864,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,0,0,260,-1,0,32,0,0,0,0,1.02422615E7,4087.784302039431,1.0245152E7,1.0239371E7,No Label
188.43.72.112-192.168.100.5-80-60736-6,188.43.72.112,80,192.168.100.5,60736,6,07/07/2019 04:14:58,23913827,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.16726724668535906,7971275.666666666,3933641.710721038,1.0246519E7,3429100.0,2.3913827E7,7971275.666666666,3933641.710721038,1.0246519E7,3429100.0,0,0,0,0,0,0,0,0,0,128,0,0.16726724668535906,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,0,0,294,-1,0,32,0,0,0,0,1.02423635E7,5876.7644584413965,1.0246519E7,1.0238208E7,No Label
192.168.100.5-52.41.190.209-50664-443-6,52.41.190.209,443,192.168.100.5,50664,6,07/07/2019 04:15:32,306758,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,101.05685915281754,6.519797364697906,306758.0,0.0,306758.0,306758.0,306758.0,306758.0,0.0,306758.0,306758.0,0,0,0,0,0,1,0,0,0,64,0,6.519797364697906,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,2,31,0,0,118,-1,0,32,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,07/07/2019 04:14:58,45162642,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.06642658328093383,2.2581321E7,1.2956371291796481E7,3.1742859E7,1.3419783E7,4.5162642E7,2.2581321E7,1.2956371291796481E7,3.1742859E7,1.3419783E7,0,0,0,0,0,0,0,0,0,0,0,0.06642658328093383,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,2.2581321E7,1.2956371291796481E7,3.1742859E7,1.3419783E7,No Label
192.168.100.5-91.151.200.154-41451-53-17,91.151.200.154,53,192.168.100.5,41451,17,07/07/2019 04:15:42,5479,2,0,134.0,0.0,73.0,61.0,67.0,8.48528137423857,0,0,0,0,24457.017703960577,365.0301149844862,5479.0,0.0,5479.0,5479.0,5479.0,5479.0,0.0,5479.0,5479.0,0,0,0,0,0,0,0,0,0,16,0,365.0301149844862,0.0,61.0,73.0,65.0,6.928203230275509,48.0,0,0,0,0,0,0,0,0,0.0,97.5,67.0,0.0,0,0,0,0,0,0,2,134,0,0,-1,-1,1,8,0,0,0,0,0,0,0,0,No Label
173.194.73.95-192.168.100.5-443-49078-6,173.194.73.95,443,192.168.100.5,49078,6,07/07/2019 04:15:42,48592,10,0,2766.0,0.0,1400.0,0.0,276.59999999999997,436.3569385007849,0,0,0,0,56922.95027988146,205.79519262430028,5399.111111111111,5693.728796765008,15360.0,11.0,48592.0,5399.111111111111,5693.728796765008,15360.0,11.0,0,0,0,0,0,0,0,0,0,328,0,205.79519262430028,0.0,0.0,1400.0,251.45454545454544,422.28174567138547,178321.87272727268,0,0,0,1,1,0,0,0,0.0,276.6,276.6,0.0,0,0,0,0,0,0,10,2766,0,0,62392,-1,6,32,0,0,0,0,0,0,0,0,No Label
