Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
185.199.108.154-192.168.1.177-443-43518-6,192.168.1.177,43518,185.199.108.154,443,6,08/05/2019 03:43:59,13934329,1,3,0.0,58.0,0.0,0.0,0.0,0.0,58.0,0.0,19.333333333333336,33.48631561299829,4.162381984808885,0.28706082653854376,4644776.333333334,8035862.391346017,1.3923789E7,43.0,0,0,0,0,0,1.3923832E7,6961916.0,9845575.216119066,1.3923789E7,43.0,0,0,0,0,32,96,0.07176520663463594,0.21529561990390783,0.0,58.0,11.6,25.93838853899756,672.8,0,0,0,0,1,0,0,0,3.0,14.5,0.0,19.333333333333332,0,0,0,0,0,0,1,0,3,58,3575,68,0,32,10497.0,0.0,10497.0,10497.0,1.3923789E7,0.0,1.3923789E7,1.3923789E7,No Label
185.199.108.154-192.168.1.177-443-43518-6,185.199.108.154,443,192.168.1.177,43518,6,08/05/2019 03:44:13,620,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4838.709677419355,310.0,404.4650788387052,596.0,24.0,0,0,0,0,0,596.0,596.0,0.0,596.0,596.0,0,0,0,0,32,76,1612.9032258064517,3225.8064516129034,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,68,3575,0,32,0,0,0,0,0,0,0,0,No Label
188.234.130.205-192.168.1.177-443-39003-17,192.168.1.177,39003,188.234.130.205,443,17,08/05/2019 03:44:17,278404,238,500,11292.0,669041.0,1350.0,28.0,47.44537815126049,141.17847563551533,1350.0,21.0,1338.0819999999987,115.62947559880439,2443689.7458369853,2650.823982414046,377.7530529172318,2589.5487643728043,36365.0,1.0,233327.0,984.5021097046408,5236.992770329036,71808.0,39.0,256053.0,513.1322645290581,3066.767509671149,36579.0,3.0,0,0,0,0,1904,4000,854.8727748164538,1795.951207597592,21.0,1350.0,922.4397834912036,616.1488751995813,379639.43640970916,0,0,0,0,0,0,0,0,2.0,923.689701897019,47.445378151260506,1338.082,0,0,0,0,0,0,238,11292,500,669041,-1,-1,237,8,0,0,0,0,0,0,0,0,No Label
192.168.1.177-64.233.163.188-46472-5228-6,192.168.1.177,46472,64.233.163.188,5228,6,08/05/2019 03:44:05,45065232,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0887602220709748,1.5021744E7,2.60019450950422E7,4.5046204E7,9431.0,4.5055801E7,4.5055801E7,0.0,4.5055801E7,4.5055801E7,4.5055635E7,4.5055635E7,0.0,4.5055635E7,4.5055635E7,0,0,0,0,64,64,0.0443801110354874,0.0443801110354874,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,309,244,0,32,9597.0,0.0,9597.0,9597.0,4.5046204E7,0.0,4.5046204E7,4.5046204E7,No Label
192.168.1.177-192.168.1.1-33111-53-17,192.168.1.177,33111,192.168.1.1,53,17,08/05/2019 03:44:53,6544,1,1,33.0,49.0,33.0,33.0,33.0,0.0,49.0,49.0,49.0,0.0,12530.562347188263,305.62347188264056,6544.0,0.0,6544.0,6544.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,152.81173594132028,152.81173594132028,33.0,49.0,38.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,57.5,33.0,49.0,0,0,0,0,0,0,1,33,1,49,-1,-1,0,8,0,0,0,0,0,0,0,0,No Label
192.168.1.177-95.213.255.17-34106-443-6,95.213.255.17,443,192.168.1.177,34106,6,08/05/2019 03:43:54,29974646,4,2,62.0,70.0,31.0,0.0,15.5,17.8978583448784,35.0,35.0,35.0,0.0,4.40372173202646,0.20016916963756637,5994929.2,1.3390902875108149E7,2.9949302E7,239.0,2.9974646E7,9991548.666666668,1.7283921425224148E7,2.9949302E7,11555.0,2.9963006E7,2.9963006E7,0.0,2.9963006E7,2.9963006E7,1,0,0,0,128,64,0.13344611309171092,0.06672305654585546,0.0,35.0,23.28571428571429,16.007438746973083,256.23809523809524,0,1,0,0,1,0,0,0,0.0,27.166666666666668,15.5,35.0,0,0,0,0,0,0,4,62,2,70,249,386,1,32,13789.0,0.0,13789.0,13789.0,2.9949302E7,0.0,2.9949302E7,2.9949302E7,No Label
192.168.1.177-192.30.253.125-53644-443-6,192.168.1.177,53644,192.30.253.125,443,6,08/05/2019 03:44:00,8822077,2,3,28.0,24.0,28.0,0.0,14.0,19.79898987322333,24.0,0.0,8.0,13.856406460551018,5.894303574997135,0.5667599591343399,2205519.25,4162145.060124757,8447150.0,298.0,8595402.0,8595402.0,0.0,8595402.0,8595402.0,8674123.0,4337061.5,5812542.899253691,8447150.0,226973.0,0,0,0,0,64,96,0.22670398365373595,0.34005597548060396,0.0,28.0,8.666666666666668,13.48579499572297,181.86666666666667,0,0,0,0,1,0,0,0,1.0,10.4,14.0,8.0,0,0,0,0,0,0,2,28,3,24,304,39,1,32,147954.0,0.0,147954.0,147954.0,8447150.0,0.0,8447150.0,8447150.0,No Label
192.168.1.177-192.168.1.1-57275-53-17,192.168.1.177,57275,192.168.1.1,53,17,08/05/2019 03:44:01,3399,1,1,50.0,110.0,50.0,50.0,50.0,0.0,110.0,110.0,110.0,0.0,47072.66843189173,588.4083553986467,3399.0,0.0,3399.0,3399.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,294.20417769932334,294.20417769932334,50.0,110.0,70.0,34.64101615137755,1200.0,0,0,0,0,0,0,0,0,1.0,105.0,50.0,110.0,0,0,0,0,0,0,1,50,1,110,-1,-1,0,8,0,0,0,0,0,0,0,0,No Label
192.168.1.177-74.125.205.94-59065-443-17,192.168.1.177,59065,74.125.205.94,443,17,08/05/2019 03:44:53,41670,5,6,1741.0,1718.0,1350.0,28.0,348.20000000000005,571.3949597257575,1350.0,18.0,286.33333333333337,531.1318731413759,83009.3592512599,263.97888168946486,4167.0,8274.37833851516,26545.0,102.0,15125.0,3781.25,4420.670641052856,9374.0,102.0,32701.0,6540.2,11760.677901379664,27423.0,113.0,0,0,0,0,40,48,119.99040076793857,143.98848092152627,18.0,1350.0,400.75,580.7443695183559,337264.0227272727,0,0,0,0,0,0,0,0,1.0,437.1818181818182,348.2,286.3333333333333,0,0,0,0,0,0,5,1741,6,1718,-1,-1,4,8,0,0,0,0,0,0,0,0,No Label
192.168.1.177-82.202.236.43-58292-22-6,192.168.1.177,58292,82.202.236.43,22,6,08/05/2019 03:43:58,56332517,8,4,272.0,368.0,68.0,0.0,34.0,36.34752890008971,92.0,92.0,92.0,0.0,11.361111380838885,0.2130208383907291,5121137.909090909,1.1702135938928094E7,3.7609081E7,33.0,5.6332517E7,8047502.428571427,1.4168923617280893E7,3.7609081E7,4668.0,5.6327703E7,1.8775901E7,1.7335163442054622E7,3.7614028E7,3495812.0,1,0,0,0,256,128,0.14201389226048605,0.07100694613024303,0.0,92.0,54.46153846153846,39.17613088054039,1534.7692307692305,0,1,0,0,1,0,0,0,0.0,59.0,34.0,92.0,0,0,0,0,0,0,8,272,4,368,8587,316,3,32,4883.5,125.15790027001891,4972.0,4795.0,2.64080795E7,1.5840608233461382E7,3.7609081E7,1.5207078E7,No Label
