Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.100.5-95.213.255.17-44660-443-6,95.213.255.17,443,192.168.100.5,44660,6,10/05/2019 07:45:04,30041941,4,2,62.0,70.0,31.0,0.0,15.5,17.8978583448784,35.0,35.0,35.0,0.0,4.393857241115013,0.19972078368704604,6008388.2,1.3416554427327484E7,3.0008646E7,222.0,3.0041941E7,1.0013980333333332E7,1.731588841331817E7,3.0008646E7,16199.0,3.0025735E7,3.0025735E7,0.0,3.0025735E7,3.0025735E7,1,0,0,0,128,64,0.13314718912469736,0.06657359456234868,0.0,35.0,23.28571428571429,16.007438746973083,256.23809523809524,0,1,0,0,1,0,0,0,0.0,27.166666666666668,15.5,35.0,0,0,0,0,0,0,4,62,2,70,249,340,1,32,17096.0,0.0,17096.0,17096.0,3.0008646E7,0.0,3.0008646E7,3.0008646E7,No Label
192.168.100.5-82.202.236.43-58062-22-6,82.202.236.43,22,192.168.100.5,58062,6,10/05/2019 07:45:31,845901,23,23,2116.0,0.0,188.0,36.0,91.99999999999999,47.082133264405854,0.0,0.0,0.0,0.0,2501.4747588665814,54.379886062316984,18797.799999999992,74343.30042646748,413539.0,7.0,845889.0,38449.50000000001,103873.5076471791,413552.0,18.0,845856.0,38447.99999999999,103886.57408282682,413584.0,19.0,1,0,0,0,736,748,27.189943031158492,27.189943031158492,0.0,188.0,46.63829787234042,56.52718681496268,3195.322849213691,0,1,0,0,1,0,0,0,1.0,47.65217391304348,92.0,0.0,0,0,0,0,0,0,23,2116,23,0,315,1438,22,32,0,0,0,0,0,0,0,0,No Label
173.194.222.188-192.168.100.5-443-41380-6,192.168.100.5,41380,173.194.222.188,443,6,10/05/2019 07:45:29,31004,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.50780544445878,31004.0,0.0,31004.0,31004.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,32.25390272222939,32.25390272222939,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,329,244,0,32,0,0,0,0,0,0,0,0,No Label
192.168.100.5-82.202.236.43-58064-22-6,82.202.236.43,22,192.168.100.5,58064,6,10/05/2019 07:45:32,598384,6,6,4328.0,0.0,1400.0,44.0,721.3333333333333,719.1357776294172,0.0,0.0,0.0,0.0,7232.8137115965665,20.054012139362015,54398.545454545456,177420.26038497614,589295.0,9.0,598374.0,119674.8,262552.8382139488,589307.0,23.0,598372.0,119674.4,262576.3766122154,589349.0,19.0,1,0,0,0,192,192,10.027006069681008,10.027006069681008,0.0,1400.0,338.7692307692308,593.1236737036318,351795.6923076923,0,1,0,0,1,0,0,0,1.0,367.0,721.3333333333334,0.0,0,0,0,0,0,0,6,4328,6,0,359,1436,5,32,0,0,0,0,0,0,0,0,No Label
192.168.100.5-74.125.163.92-35378-443-17,192.168.100.5,35378,74.125.163.92,443,17,10/05/2019 07:44:59,54302063,2704,6300,87207.0,8470387.0,726.0,29.0,32.25110946745567,31.326337743669978,1350.0,22.0,1344.5058730158707,83.22285135829112,157592.4288548669,165.8132214976805,6031.552038209487,288418.4341456442,1.8836417E7,0.0,5.4225379E7,20061.183499814986,526842.0991873197,1.8863545E7,9.0,5.4282888E7,8617.699317351977,345271.4735165203,1.8845796E7,2.0,0,0,0,0,21632,50400,49.795529867806316,116.01769162987418,22.0,1350.0,950.3942254303191,605.7913923726767,366983.2110728263,0,0,0,0,0,0,0,0,2.0,950.4997778764994,32.25110946745562,1344.505873015873,0,0,0,0,0,0,2704,87207,6300,8470387,-1,-1,2703,8,1756041.3333333333,173277.9870766432,1893616.0,1561436.0,1.5637021E7,2774949.1870700982,1.8836417E7,1.388487E7,No Label
192.168.100.5-239.255.255.250-52438-1900-17,192.168.100.5,52438,239.255.255.250,1900,17,10/05/2019 07:45:10,3002207,4,0,668.0,0.0,167.0,167.0,167.0,0.0,0,0,0,0,222.5029786420457,1.3323531655212315,1000735.6666666666,140.46114527987208,1000863.0,1000585.0,3002207.0,1000735.6666666666,140.46114527987208,1000863.0,1000585.0,0,0,0,0,0,0,0,0,0,32,0,1.3323531655212315,0.0,167.0,167.0,167.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,208.75,167.0,0.0,0,0,0,0,0,0,4,668,0,0,-1,-1,3,8,0,0,0,0,0,0,0,0,No Label
192.168.100.5-74.125.131.198-51004-443-17,192.168.100.5,51004,74.125.131.198,443,17,10/05/2019 07:45:11,45069452,12,17,3134.0,1002.0,659.0,23.0,261.1666666666667,292.05940657629395,273.0,17.0,58.94117647058823,82.36919219908262,91.76947614095685,0.6434513559206356,1609623.2857142857,4090374.215993056,1.4977616E7,12.0,4.5069452E7,4097222.909090909,5834824.412296697,1.4977616E7,16739.0,4.505756E7,2816097.5,5164630.830617422,1.5000732E7,12.0,0,0,0,0,96,136,0.2662557334844009,0.37719562243623467,17.0,659.0,138.63333333333335,215.6265103228798,46494.791954022985,0,0,0,0,0,0,0,0,1.0,143.41379310344828,261.1666666666667,58.94117647058823,0,0,0,0,0,0,12,3134,17,1002,-1,-1,11,8,2235817.666666667,2326599.5045031565,4661436.0,22835.0,1.2781164666666666E7,2329285.9589533727,1.4977616E7,1.033859E7,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,10/05/2019 07:44:59,44232657,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.18086184603380256,6318950.999999999,1.4830393548603233E7,3.9936349E7,91109.0,4.4232657E7,6318950.999999999,1.4830393548603233E7,3.9936349E7,91109.0,0,0,0,0,0,0,0,0,0,0,0,0.18086184603380256,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,8,0,0,0,-1,-1,0,0,97901.0,0.0,97901.0,97901.0,3.9936349E7,0.0,3.9936349E7,3.9936349E7,No Label
185.26.182.93-192.168.100.5-443-46696-6,192.168.100.5,46696,185.26.182.93,443,6,10/05/2019 07:45:19,46373,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.128544627261554,46373.0,0.0,46373.0,46373.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,21.564272313630777,21.564272313630777,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,329,0,0,32,0,0,0,0,0,0,0,0,No Label
