Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.100.5-95.213.255.17-44660-443-6,95.213.255.17,443,192.168.100.5,44660,6,10/05/2019 08:04:34,30040800,4,2,62.0,70.0,31.0,0.0,15.5,17.8978583448784,35.0,35.0,35.0,0.0,4.394024127187025,0.19972836941759206,6008160.0,1.3411264389733449E7,2.9998951E7,240.0,3.00408E7,1.00136E7,1.730782263083641E7,2.9998951E7,15156.0,3.0025658E7,3.0025658E7,0.0,3.0025658E7,3.0025658E7,1,0,0,0,128,64,0.13315224627839473,0.06657612313919736,0.0,35.0,23.28571428571429,16.007438746973083,256.23809523809524,0,1,0,0,1,0,0,0,0.0,27.166666666666668,15.5,35.0,0,0,0,0,0,0,4,62,2,70,249,340,1,32,26693.0,0.0,26693.0,26693.0,2.9998951E7,0.0,2.9998951E7,2.9998951E7,No Label
192.168.100.5-82.202.236.43-58062-22-6,82.202.236.43,22,192.168.100.5,58062,6,10/05/2019 08:04:32,642989,29,29,2316.0,0.0,292.0,36.0,79.86206896551725,53.09272491051524,0.0,0.0,0.0,0.0,3601.9278712388546,90.20372043689704,11280.508771929826,60537.832614384555,448981.0,8.0,642977.0,22963.46428571428,85585.69000952254,449028.0,19.0,642944.0,22962.28571428571,85588.79185010026,449027.0,20.0,1,0,0,0,928,940,45.10186021844852,45.10186021844852,0.0,292.0,40.54237288135593,54.56515309429077,2977.35593220339,0,1,0,0,1,0,0,0,1.0,41.241379310344826,79.86206896551724,0.0,0,0,0,0,0,0,29,2316,29,0,315,1441,28,32,0,0,0,0,0,0,0,0,No Label
192.168.100.5-239.255.255.250-33063-1900-17,192.168.100.5,33063,239.255.255.250,1900,17,10/05/2019 08:05:10,3002572,4,0,668.0,0.0,167.0,167.0,167.0,0.0,0,0,0,0,222.47593063546853,1.3321912014099913,1000857.3333333334,138.58691616936042,1000980.0,1000707.0,3002572.0,1000857.3333333334,138.58691616936042,1000980.0,1000707.0,0,0,0,0,0,0,0,0,0,32,0,1.3321912014099913,0.0,167.0,167.0,167.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,208.75,167.0,0.0,0,0,0,0,0,0,4,668,0,0,-1,-1,3,8,0,0,0,0,0,0,0,0,No Label
173.194.222.188-192.168.100.5-443-41380-6,192.168.100.5,41380,173.194.222.188,443,6,10/05/2019 08:04:32,21359,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.6373425722178,21359.0,0.0,21359.0,21359.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,46.8186712861089,46.8186712861089,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,329,244,0,32,0,0,0,0,0,0,0,0,No Label
192.168.100.5-82.202.236.43-58064-22-6,82.202.236.43,22,192.168.100.5,58064,6,10/05/2019 08:04:33,671026,6,6,2028.0,0.0,1400.0,36.0,338.0,540.8600558369974,0.0,0.0,0.0,0.0,3022.237588409391,17.883062653310006,61002.36363636364,200814.67556444812,666470.0,12.0,671013.0,134202.6,297571.3767859738,666505.0,25.0,670991.0,134198.2,297580.86088775937,666517.0,26.0,1,0,0,0,192,192,8.941531326655003,8.941531326655003,0.0,1400.0,161.8461538461538,388.7333803851182,151113.641025641,0,1,0,0,1,0,0,0,1.0,175.33333333333334,338.0,0.0,0,0,0,0,0,0,6,2028,6,0,359,1436,5,32,0,0,0,0,0,0,0,0,No Label
192.168.100.5-74.125.131.198-51004-443-17,192.168.100.5,51004,74.125.131.198,443,17,10/05/2019 08:04:15,55789034,15,22,4712.0,1853.0,894.0,23.0,314.1333333333334,339.60751856616287,296.0,18.0,84.22727272727273,102.77572986532691,117.67545571769534,0.6632127740372776,1549695.388888889,3880841.418753304,1.4926011E7,4.0,5.5789034E7,3984931.0,5490529.357501515,1.4926011E7,12058.0,5.5635695E7,2649318.8095238097,4858203.133827235,1.5034038E7,4.0,0,0,0,0,120,176,0.2688700435286261,0.3943427305086516,18.0,894.0,196.28947368421058,275.47834641884555,75888.31934566148,0,0,0,0,0,0,0,0,1.0,201.59459459459458,314.1333333333333,84.22727272727273,0,0,0,0,0,0,15,4712,22,1853,-1,-1,14,8,70090.0,62385.63343430922,172577.0,14747.0,1.0484827E7,3725690.8413222507,1.4926011E7,7600793.0,No Label
192.168.100.5-91.151.200.154-47961-53-17,192.168.100.5,47961,91.151.200.154,53,17,10/05/2019 08:04:14,9749,1,1,50.0,95.0,50.0,50.0,50.0,0.0,95.0,95.0,95.0,0.0,14873.320340547747,205.14924607652065,9749.0,0.0,9749.0,9749.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,102.57462303826033,102.57462303826033,50.0,95.0,65.0,25.98076211353316,675.0,0,0,0,0,0,0,0,0,1.0,97.5,50.0,95.0,0,0,0,0,0,0,1,50,1,95,-1,-1,0,8,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,10/05/2019 08:04:17,56218552,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.21345266950312058,5110777.454545454,7469172.350319979,1.6998548E7,102207.0,5.6218552E7,5110777.454545454,7469172.350319979,1.6998548E7,102207.0,0,0,0,0,0,0,0,0,0,0,0,0.21345266950312058,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,12,0,0,0,-1,-1,0,0,2016109.3333333335,2554394.3648548736,4917716.0,106569.0,1.6723408E7,473018.8358828853,1.6998548E7,1.6177218E7,No Label
173.194.2.22-192.168.100.5-443-55945-17,192.168.100.5,55945,173.194.2.22,443,17,10/05/2019 08:04:14,54585930,9760,19845,309726.0,2.6720178E7,1350.0,28.0,31.734221311475398,38.62143954844961,1350.0,20.0,1346.443839758122,66.4689376052316,495180.7910939687,542.3558781539492,1843.8700851236229,105565.45757396377,9254924.0,0.0,5.458593E7,5593.393790347387,183961.48476412348,9254924.0,10.0,5.4467503E7,2744.7844688570904,129217.10367662921,9276036.0,1.0,0,0,0,0,78080,158760,178.80065430780422,363.555223846145,20.0,1350.0,913.0329662906142,620.830610427903,385430.6468442827,0,0,0,0,0,0,0,0,2.0,913.0638067893937,31.73422131147541,1346.4438397581255,0,0,0,0,0,0,9760,309726,19845,26720178,-1,-1,9759,8,1999450.5,2013183.6407687948,5224800.0,548286.0,6956942.166666666,2010939.9410302055,9254924.0,5132683.0,No Label
