Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.177-95.213.255.17-38170-443-6,95.213.255.17,443,192.168.1.177,38170,6,07/05/2019 10:29:23,30083479,4,2,62.0,70.0,31.0,0.0,15.5,17.8978583448784,35.0,35.0,35.0,0.0,4.387790388206098,0.19944501764573172,6016695.8,1.3439819275178505E7,3.0058573E7,211.0,3.0083479E7,1.0027826333333332E7,1.7347135471291576E7,3.0058573E7,12250.0,3.0070808E7,3.0070808E7,0.0,3.0070808E7,3.0070808E7,1,0,0,0,128,64,0.1329633450971545,0.06648167254857724,0.0,35.0,23.28571428571429,16.007438746973083,256.23809523809524,0,1,0,0,1,0,0,0,0.0,27.166666666666668,15.5,35.0,0,0,0,0,0,0,4,62,2,70,249,341,1,32,12250.0,0.0,12250.0,12250.0,3.0058573E7,0.0,3.0058573E7,3.0058573E7,No Label
192.168.1.177-192.30.253.124-47882-443-6,192.168.1.177,47882,192.30.253.124,443,6,07/05/2019 10:29:26,8745964,2,3,28.0,24.0,28.0,0.0,14.0,19.79898987322333,24.0,0.0,8.0,13.856406460551018,5.945599593138046,0.5716922685709659,2186491.0,4144756.963757545,8402082.0,205.0,8519520.0,8519520.0,0.0,8519520.0,8519520.0,8628731.0,4314365.5,5780904.11343628,8402082.0,226649.0,0,0,0,0,64,96,0.22867690742838637,0.3430153611425796,0.0,28.0,8.666666666666668,13.48579499572297,181.86666666666667,0,0,0,0,1,0,0,0,1.0,10.4,14.0,8.0,0,0,0,0,0,0,2,28,3,24,304,31,1,32,117233.0,0.0,117233.0,117233.0,8402082.0,0.0,8402082.0,8402082.0,No Label
192.168.1.177-64.233.164.188-58252-443-6,192.168.1.177,58252,64.233.164.188,443,6,07/05/2019 10:29:46,11252,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.74617845716318,11252.0,0.0,11252.0,11252.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,88.87308922858159,88.87308922858159,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,339,244,0,32,0,0,0,0,0,0,0,0,No Label
