Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
151.101.84.133-192.168.1.177-443-58446-6,192.168.1.177,58446,151.101.84.133,443,6,08/05/2019 04:21:22,28819478,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10409626433900017,1.4409739E7,2.0354321840682436E7,2.8802418E7,17060.0,2.8819478E7,2.8819478E7,0.0,2.8819478E7,2.8819478E7,0,0,0,0,0,0,0,0,0,64,32,0.06939750955933345,0.034698754779666725,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,245,61,0,32,0,0,0,0,0,0,0,0,No Label
151.101.84.133-192.168.1.177-443-58406-6,192.168.1.177,58406,151.101.84.133,443,6,08/05/2019 04:21:20,30871351,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09717747694294299,1.54356755E7,2.180358739330573E7,3.085314E7,18211.0,3.0871351E7,3.0871351E7,0.0,3.0871351E7,3.0871351E7,0,0,0,0,0,0,0,0,0,64,32,0.06478498462862865,0.032392492314314326,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,419,66,0,32,0,0,0,0,0,0,0,0,No Label
151.101.84.133-192.168.1.177-443-58466-6,192.168.1.177,58466,151.101.84.133,443,6,08/05/2019 04:21:40,10391658,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2886931036414016,5195829.0,7316105.767390736,1.0369097E7,22561.0,1.0391658E7,1.0391658E7,0.0,1.0391658E7,1.0391658E7,0,0,0,0,0,0,0,0,0,64,32,0.19246206909426775,0.09623103454713387,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,349,66,0,32,0,0,0,0,0,0,0,0,No Label
185.199.110.154-192.168.1.177-443-52276-6,192.168.1.177,52276,185.199.110.154,443,6,08/05/2019 04:21:34,16532078,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1814653911020744,8266039.0,1.1667594229765192E7,1.6516274E7,15804.0,1.6532078E7,1.6532078E7,0.0,1.6532078E7,1.6532078E7,0,0,0,0,0,0,0,0,0,64,32,0.12097692740138295,0.060488463700691476,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,237,59,0,32,0,0,0,0,0,0,0,0,No Label
151.101.84.133-192.168.1.177-443-58406-6,151.101.84.133,443,192.168.1.177,58406,6,08/05/2019 04:21:51,103,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,300970.87378640776,29126.21359223301,51.5,24.748737341529164,69.0,34.0,103.0,103.0,0.0,103.0,103.0,0,0,0,0,0,1,0,0,0,64,20,19417.47572815534,9708.73786407767,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,0,0,0,0,0,0,2,31,1,0,66,0,0,32,0,0,0,0,0,0,0,0,No Label
151.101.84.133-192.168.1.177-443-58446-6,151.101.84.133,443,192.168.1.177,58446,6,08/05/2019 04:21:51,4010,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,7730.67331670823,748.1296758104738,2005.0,2804.3854941858476,3988.0,22.0,4010.0,4010.0,0.0,4010.0,4010.0,0,0,0,0,0,1,0,0,0,64,20,498.7531172069826,249.3765586034913,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,0,0,0,0,0,0,2,31,1,0,61,0,0,32,0,0,0,0,0,0,0,0,No Label
151.101.84.133-192.168.1.177-443-58466-6,151.101.84.133,443,192.168.1.177,58466,6,08/05/2019 04:21:51,36,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,861111.1111111111,83333.33333333333,18.0,9.899494936611665,25.0,11.0,36.0,36.0,0.0,36.0,36.0,0,0,0,0,0,1,0,0,0,64,20,55555.555555555555,27777.777777777777,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,0,0,0,0,0,0,2,31,1,0,66,0,0,32,0,0,0,0,0,0,0,0,No Label
185.199.110.154-192.168.1.177-443-52276-6,185.199.110.154,443,192.168.1.177,52276,6,08/05/2019 04:21:51,20,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,1549999.9999999998,150000.0,10.0,2.8284271247461903,12.0,8.0,20.0,20.0,0.0,20.0,20.0,0,0,0,0,0,1,0,0,0,64,20,99999.99999999999,49999.99999999999,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,0,0,0,0,0,0,2,31,1,0,59,0,0,32,0,0,0,0,0,0,0,0,No Label
192.168.1.177-192.168.1.1-44795-53-17,192.168.1.177,44795,192.168.1.1,53,17,08/05/2019 04:21:52,4934,1,1,48.0,171.0,48.0,48.0,48.0,0.0,171.0,171.0,171.0,0.0,44385.89379813539,405.35062829347385,4934.0,0.0,4934.0,4934.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,202.67531414673692,202.67531414673692,48.0,171.0,89.0,71.01408311032397,5043.0,0,0,0,0,0,0,0,0,1.0,133.5,48.0,171.0,0,0,0,0,0,0,1,48,1,171,-1,-1,0,8,0,0,0,0,0,0,0,0,No Label
185.199.111.154-192.168.1.177-443-39118-6,192.168.1.177,39118,185.199.111.154,443,6,08/05/2019 04:21:40,45926,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.54831685755345,45926.0,0.0,45926.0,45926.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,21.774158428776726,21.774158428776726,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,270,63,0,32,0,0,0,0,0,0,0,0,No Label
