Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.177-34.230.200.137-44330-443-6,192.168.1.177,44330,34.230.200.137,443,6,08/05/2019 04:18:15,45317816,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08826550688144372,1.5105938666666668E7,2.589163070323579E7,4.5003017E7,148984.0,4.5152001E7,4.5152001E7,0.0,4.5152001E7,4.5152001E7,4.5168832E7,4.5168832E7,0.0,4.5168832E7,4.5168832E7,0,0,0,0,64,52,0.04413275344072186,0.04413275344072186,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,342,0,0,32,148984.0,0.0,148984.0,148984.0,4.5003017E7,0.0,4.5003017E7,4.5003017E7,No Label
192.168.1.177-192.30.253.125-54518-443-6,192.168.1.177,54518,192.30.253.125,443,6,08/05/2019 04:18:04,53936643,3,4,28.0,24.0,28.0,0.0,9.333333333333332,16.165807537309522,24.0,0.0,6.0,12.0,0.964094113161622,0.12978189984867988,8989440.5,1.7966554311985686E7,4.5036914E7,325.0,5.3759937E7,2.68799685E7,2.584770643739333E7,4.5157057E7,8602880.0,5.3726475E7,1.7908825E7,2.4005625038304232E7,4.521362E7,120468.0,0,0,0,0,96,128,0.055620814220862805,0.07416108562781708,0.0,28.0,6.500000000000001,12.083045973594574,146.00000000000003,0,0,0,0,1,0,0,0,1.0,7.428571428571429,9.333333333333334,6.0,0,0,0,0,0,0,3,28,4,24,304,31,1,32,165318.0,63427.47827243331,210168.0,120468.0,2.67146505E7,2.5911593535073534E7,4.5036914E7,8392387.0,No Label
151.101.84.133-192.168.1.177-443-58446-6,192.168.1.177,58446,151.101.84.133,443,6,08/05/2019 04:18:22,20084,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.58175662218682,20084.0,0.0,20084.0,20084.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,49.79087831109341,49.79087831109341,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,245,61,0,32,0,0,0,0,0,0,0,0,No Label
151.101.84.133-192.168.1.177-443-58406-6,192.168.1.177,58406,151.101.84.133,443,6,08/05/2019 04:18:19,25520,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.36990595611285,25520.0,0.0,25520.0,25520.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,39.18495297805642,39.18495297805642,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,419,66,0,32,0,0,0,0,0,0,0,0,No Label
185.199.111.154-192.168.1.177-443-39118-6,192.168.1.177,39118,185.199.111.154,443,6,08/05/2019 04:18:40,38019,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.60527630921382,38019.0,0.0,38019.0,38019.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.30263815460691,26.30263815460691,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,270,63,0,32,0,0,0,0,0,0,0,0,No Label
151.101.84.133-192.168.1.177-443-58466-6,192.168.1.177,58466,151.101.84.133,443,6,08/05/2019 04:18:40,18453,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.38346068389963,18453.0,0.0,18453.0,18453.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,54.191730341949814,54.191730341949814,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,349,66,0,32,0,0,0,0,0,0,0,0,No Label
192.168.1.177-64.233.163.188-46472-5228-6,192.168.1.177,46472,64.233.163.188,5228,6,08/05/2019 04:18:22,10688199,3,3,26.0,26.0,26.0,0.0,8.666666666666668,15.01110699893027,26.0,0.0,8.666666666666666,15.01110699893027,4.865178876254082,0.5613667934139326,2137639.8,4745738.142439456,1.0627027E7,36.0,1.0688199E7,5344099.5,7485283.186109962,1.0636994E7,51205.0,1.0636364E7,5318182.0,7520994.199880226,1.0636328E7,36.0,0,0,0,0,96,96,0.2806833967069663,0.2806833967069663,0.0,26.0,7.42857142857143,12.68670094833093,160.95238095238093,0,0,0,0,1,0,0,0,1.0,8.666666666666666,8.666666666666666,8.666666666666666,0,0,0,0,0,0,3,26,3,26,309,244,1,32,9967.0,0.0,9967.0,9967.0,1.0627027E7,0.0,1.0627027E7,1.0627027E7,No Label
192.168.1.177-95.213.255.17-34106-443-6,95.213.255.17,443,192.168.1.177,34106,6,08/05/2019 04:18:24,30090919,4,2,62.0,70.0,31.0,0.0,15.5,17.8978583448784,35.0,35.0,35.0,0.0,4.386705504075831,0.1993957047307196,6018183.8,1.3444237509570679E7,3.0067965E7,262.0,3.0090919E7,1.0030306333333332E7,1.735312143787458E7,3.0067965E7,11398.0,3.0079401E7,3.0079401E7,0.0,3.0079401E7,3.0079401E7,1,0,0,0,128,64,0.13293046982047974,0.06646523491023987,0.0,35.0,23.28571428571429,16.007438746973083,256.23809523809524,0,1,0,0,1,0,0,0,0.0,27.166666666666668,15.5,35.0,0,0,0,0,0,0,4,62,2,70,249,386,1,32,11398.0,0.0,11398.0,11398.0,3.0067965E7,0.0,3.0067965E7,3.0067965E7,No Label
172.217.130.152-192.168.1.177-443-53767-17,192.168.1.177,53767,172.217.130.152,443,17,08/05/2019 04:18:06,48915431,963,1917,35998.0,2537952.0,664.0,29.0,37.38110072689513,69.47131159816749,1350.0,20.0,1323.9186228482001,179.23878607836429,52620.40929374618,58.87712611588765,16990.424105592196,291030.842411708,6205501.0,0.0,4.8915431E7,50847.64137214131,502043.3205460673,6208181.0,41.0,4.8888023E7,25515.669624217117,357527.0291566631,6209400.0,9.0,0,0,0,0,7704,15336,19.68703904499993,39.190087070887714,20.0,1350.0,893.6504685872947,625.6157464133798,391395.06216037035,0,0,0,0,0,0,0,0,1.0,893.9607638888889,37.38110072689512,1323.9186228482004,0,0,0,0,0,0,963,35998,1917,2537952,-1,-1,962,8,1.0188123333333334E7,849394.7369017148,1.1162911E7,9606851.0,6102593.333333333,127941.73793697401,6205501.0,5959343.0,No Label
185.199.110.154-192.168.1.177-443-52276-6,192.168.1.177,52276,185.199.110.154,443,6,08/05/2019 04:18:34,19013,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.19118497869879,19013.0,0.0,19013.0,19013.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,52.59559248934939,52.59559248934939,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,237,59,0,32,0,0,0,0,0,0,0,0,No Label
